D,Hs,c1,t,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,w1,w2
1.00,0.00 < HS <= 0.25,0.20,0.25,14-3.10-32-1.70-(17-17-21-98-17-15-15),14-3.10-32-1.70-(17-98-21-17-17-15-15),10-9-16.0-1.00-(100),10-3.10-32.0-1.60-(15-130-15),10-5-32.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-1.99-(45-17-35-22),10-3*2-!-1.30-(130),10-4.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),42.40,10.48
1.00,0.25 < HS <= 0.60,0.20,0.25,14-3.33-30-1.70-(17-17-21-98-17-15-15),14-3.33-30-1.70-(17-98-21-17-17-15-15),10-9-16.0-1.00-(100),10-3.33-30.0-1.60-(15-130-15),10-5-32.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-1.99-(45-17-35-22),10-3*2-!-1.30-(130),10-4.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),43.42,10.48
1.00,0.60 < HS <= 6.00,0.20,0.25,12-3.33-30-1.66-(15-17-21-98-15-15-15),14-3.33-30-1.66-(15-98-21-17-15-15-15),10-6-26.0-1.00-(100),10-3.33-30.0-1.60-(15-130-15),10-6-26.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-1.99-(45-17-35-22),10-3*2-!-1.30-(130),10-4.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),38.45,10.48
2.00,0.00 < HS <= 0.25,0.30,0.25,18-3.33-30-3.00-(22-27-20-209-22-15-15),18-3.33-30-3.00-(22-209-20-27-22-15-15),14-11-25.0-1.00-(100),10-3.33-30.0-2.80-(15-250-15),10-8-30.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.19-(45-17-45-22),10-3*2-!-2.50-(250),10-8.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),82.26,20.21
2.00,0.25 < HS <= 0.60,0.30,0.25,18-3.57-28-3.00-(22-27-20-209-22-15-15),18-3.57-28-3.00-(22-209-20-27-22-15-15),14-11-25.0-1.00-(100),10-3.57-28.0-2.80-(15-250-15),10-8-30.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.19-(45-17-45-22),10-3*2-!-2.50-(250),10-8.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),85.94,20.21
2.00,0.60 < HS <= 2.00,0.30,0.25,14-3.33-30-2.96-(20-27-20-209-20-15-15),14-3.33-30-2.96-(20-209-20-27-20-15-15),10-9-30.0-1.00-(100),10-3.33-30.0-2.80-(15-250-15),10-9-30.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.19-(45-17-45-22),10-3*2-!-2.50-(250),10-8.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),59.43,20.21
2.00,2.00 < HS <= 4.00,0.30,0.25,16-3.33-30-2.96-(20-27-20-209-20-15-15),16-3.33-30-2.96-(20-209-20-27-20-15-15),10-9-30.0-1.00-(100),10-3.33-30.0-2.80-(15-250-15),10-9-30.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.19-(45-17-45-22),10-3*2-!-2.50-(250),10-8.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),66.71,20.21
2.00,4.00 < HS <= 5.00,0.30,0.30,16-3.33-30-2.97-(20-24-20-209-20-20-20),16-3.33-30-2.97-(20-209-20-24-20-20-20),10-9-32.0-1.00-(100),16-3.33-30.0-2.80-(15-250-15),10-9-30.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.29-(50-17-45-22),10-3*2-!-2.50-(250),10-8.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),66.96,20.21
2.00,5.00 < HS <= 6.00,0.30,0.30,16-4.00-25-2.97-(20-24-20-209-20-20-20),16-4.00-25-2.97-(20-209-20-24-20-20-20),10-9-30.0-1.00-(100),10-4.00-25.0-2.80-(15-250-15),10-9-30.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.29-(50-17-45-22),10-3*2-!-2.50-(250),10-8.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),42.40,20.21
3.00,0.00 < HS <= 0.25,0.30,0.30,20-3.57-28-4.10-(27-26-27-303-27-20-20),20-3.57-28-4.10-(27-303-27-26-27-20-20),14-17-20.0-1.00-(100),10-3.57-28.0-3.80-(15-350-15),10-14-27.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.44-(50-17-50-22),10-3*2-!-3.50-(350),10-11.6*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),129.52,20.61
3.00,0.25 < HS <= 0.60,0.30,0.30,20-3.85-26-4.10-(27-26-27-303-27-20-20),20-3.85-26-4.10-(27-303-27-26-27-20-20),14-17-20.0-1.00-(100),10-3.85-26.0-3.80-(15-350-15),10-14-27.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.44-(50-17-50-22),10-3*2-!-3.50-(350),10-11.6*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),135.84,20.61
3.00,0.60 < HS <= 2.00,0.30,0.30,16-4.00-25-3.96-(20-26-27-303-20-20-20),16-4.00-25-3.96-(20-303-27-26-20-20-20),10-13-29.2-1.00-(100),10-4.00-25.0-3.80-(15-350-15),10-13-29.2-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.44-(50-17-50-22),10-3*2-!-3.50-(350),10-11.6*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),95.22,20.61
3.00,2.00 < HS <= 4.00,0.30,0.35,18-4.00-25-4.03-(22-24-33-302-22-25-25),18-4.00-25-4.03-(22-302-33-24-22-25-25),10-15-25.4-1.00-(100),10-4.00-25.0-3.80-(15-350-15),10-15-25.4-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.54-(55-17-50-22),10-3*2-!-3.50-(350),10-11.6*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),112.51,20.61
3.00,4.00 < HS <= 6.00,0.30,0.40,20-4.00-25-4.09-(25-21-40-298-25-30-30),20-4.00-25-4.09-(25-298-40-21-25-30-30),10-17-22.5-1.00-(100),10-4.00-25.0-3.80-(15-350-15),10-17-22.5-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.64-(60-17-50-22),10-3*2-!-3.50-(350),10-11.6*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),131.61,20.61
4.00,0.00 < HS <= 0.25,0.40,0.40,22-3.10-32-5.34-(27-35-42-403-27-30-30),22-3.10-32-5.34-(27-403-42-35-27-30-30),14-21-23.0-1.00-(100),12-3.10-32.0-5.00-(15-470-15),12-17-29.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.84-(60-17-60-22),10-3*2-!-4.70-(470),10-15.6*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),174.44,37.99
4.00,0.25 < HS <= 0.60,0.40,0.40,22-3.33-30-5.34-(27-35-42-403-27-30-30),22-3.33-30-5.34-(27-403-42-35-27-30-30),14-21-23.0-1.00-(100),12-3.33-30.0-5.00-(15-470-15),12-17-29.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.84-(60-17-60-22),10-3*2-!-4.70-(470),10-15.6*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),182.80,37.99
4.00,0.60 < HS <= 2.00,0.40,0.40,20-3.33-30-5.30-(25-35-42-403-25-30-30),20-3.33-30-5.30-(25-403-42-35-25-30-30),10-23-21.4-1.00-(100),12-3.33-30.0-5.00-(15-470-15),10-23-21.4-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.84-(60-17-60-22),10-3*2-!-4.70-(470),10-15.6*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),151.63,37.99
4.00,2.00 < HS <= 4.00,0.40,0.45,22-3.33-30-5.36-(27-33-49-400-27-35-35),22-3.33-30-5.36-(27-400-49-33-27-35-35),10-26-19.0-1.00-(100),14-3.33-30.0-5.00-(15-470-15),10-26-19.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.94-(65-17-60-22),10-3*2-!-4.70-(470),10-15.6*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),180.55,37.99
4.00,4.00 < HS <= 6.00,0.40,0.50,22-4.17-24-5.38-(27-30-56-398-27-40-40),22-4.17-24-5.38-(27-398-56-30-27-40-40),12-20-25.3-1.00-(100),14-4.17-24.0-5.00-(15-470-15),10-20-25.3-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-3.04-(70-17-60-22),10-3*2-!-4.70-(470),10-15.6*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),195.59,37.99
5.00,0.00 < HS <= 0.25,0.40,0.45,22-3.57-28-6.36-(27-35-49-498-27-35-35),22-3.57-28-6.36-(27-498-49-35-27-35-35),14-25-24.0-1.00-(100),12-3.57-28.0-6.00-(15-570-15),12-21-28.8-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.94-(65-17-60-22),10-3*2-!-5.70-(570),10-19.0*2-30-1.07-(40-20-7-15-25),14-3.3*2-30-1.50-(65-65-20),237.21,46.18
5.00,0.25 < HS <= 0.60,0.40,0.45,22-4.00-25-6.36-(27-35-49-498-27-35-35),22-4.00-25-6.36-(27-498-49-35-27-35-35),14-27-22.0-1.00-(100),12-4.00-25.0-6.00-(15-570-15),12-12-28.8-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.94-(65-17-60-22),10-3*2-!-5.70-(570),10-19.0*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),246.24,46.18
5.00,0.60 < HS <= 1.00,0.40,0.45,22-3.33-30-6.36-(27-35-49-498-27-35-35),22-3.33-30-6.36-(27-498-49-35-27-35-35),12-21-28.8-1.00-(100),14-3.33-30.0-6.04-(17-570-17),12-21-28.8-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.94-(65-17-60-22),10-3*2-!-5.70-(570),10-19.0*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),209.83,46.18
5.00,1.00 < HS <= 2.00,0.40,0.45,22-3.85-26-6.36-(27-35-49-498-27-35-35),22-3.85-26-6.36-(27-498-49-35-27-35-35),12-21-28.8-1.00-(100),14-3.85-26.0-6.04-(17-570-17),12-21-28.8-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-3.04-(70-17-60-22),10-3*2-!-5.70-(570),10-19.0*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),233.32,46.18
5.00,2.00 < HS <= 3.00,0.40,0.50,22-3.85-26-6.38-(27-33-56-495-27-40-40),22-3.85-26-6.38-(27-495-56-33-27-40-40),12-24-25.5-1.00-(100),12-3.85-26.0-6.04-(17-570-17),12-24-25.5-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-3.04-(70-17-60-22),10-3*2-!-5.70-(570),10-19.0*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),239.53,46.18
5.00,3.00 < HS <= 4.00,0.40,0.50,25-3.85-26-6.38-(27-33-56-495-27-40-40),25-3.85-26-6.38-(27-495-56-33-27-40-40),12-24-25.2-1.00-(100),14-3.85-26.0-6.04-(17-570-17),12-24-25.2-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-3.04-(70-17-60-22),10-3*2-!-5.70-(570),10-19.0*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),282.21,46.18
5.00,4.00 < HS <= 5.00,0.40,0.55,25-3.85-26-6.46-(30-30-64-492-30-45-45),25-3.85-26-6.46-(30-492-64-30-30-45-45),12-27-25.5-1.00-(100),14-3.85-26.0-6.04-(17-570-17),12-27-22.5-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-3.14-(75-17-60-22),10-3*2-!-5.70-(570),10-19.0*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),290.31,46.18
5.00,5.00 < HS <= 6.00,0.40,0.55,25-5.00-20-6.46-(30-30-64-492-30-45-45),25-5.00-20-6.46-(30-492-64-30-30-45-45),12-27-25.5-1.00-(100),14-5.00-20.0-6.04-(17-570-17),12-27-22.5-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-3.14-(75-17-60-22),10-3*2-!-5.70-(570),10-19.0*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),355.99,46.18
6.00,0.00 < HS <= 0.25,0.40,0.50,25-3.33-30-7.45-(30-35-57-593-30-40-40),25-3.33-30-7.45-(30-593-57-35-30-40-40),14-34-20.0-1.00-(100),12-3.33-30.0-7.00-(15-670-15),12-27-26.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-3.04-(70-17-60-22),10-3*2-!-6.70-(670),10-22.3*2-30-1.07-(40-20-7-15-25),14-3.3*2-30-1.55-(65-70-20),311.56,39.52
6.00,0.25 < HS <= 0.60,0.40,0.50,25-3.85-26-7.45-(30-35-57-593-30-40-40),25-3.85-26-7.45-(30-593-57-35-30-40-40),14-34-20.0-1.00-(100),12-3.85-26.0-7.00-(15-670-15),12-27-26.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-3.04-(70-17-60-22),10-3*2-!-6.70-(670),10-22.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),332.25,39.52
6.00,0.60 < HS <= 1.00,0.40,0.50,25-3.33-30-7.45-(30-35-57-593-30-40-40),25-3.33-30-7.45-(30-593-57-35-30-40-40),12-28-25.2-1.00-(100),14-3.33-30.0-7.04-(17-670-17),12-28-25.2-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-3.04-(70-17-60-22),10-3*2-!-6.70-(670),10-22.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),291.38,39.52
6.00,1.00 < HS <= 2.00,0.40,0.50,25-3.85-26-7.45-(30-35-57-593-30-40-40),25-3.85-26-7.45-(30-593-57-35-30-40-40),12-28-25.2-1.00-(100),14-3.85-26.0-7.04-(17-670-17),12-28-25.2-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-3.04-(70-17-60-22),10-3*2-!-6.70-(670),10-22.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),325.71,39.52
6.00,2.00 < HS <= 3.00,0.40,0.55,25-3.85-26-7.47-(30-33-64-590-30-45-45),25-3.85-26-7.47-(30-590-64-33-30-45-45),12-31-22.8-1.00-(100),14-3.85-26.0-7.04-(17-670-17),12-31-22.8-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-3.14-(75-17-60-22),10-3*2-!-5.70-(670),10-22.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),332.07,39.52
6.00,3.00 < HS <= 4.00,0.40,0.55,25-5.00-20-7.47-(30-33-64-590-30-45-45),25-5.00-20-7.47-(30-590-64-33-30-45-45),12-31-22.8-1.00-(100),14-5.00-20.0-7.04-(17-670-17),12-31-22.8-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-3.14-(75-17-60-22),10-3*2-!-6.70-(670),10-22.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),408.05,39.52
6.00,4.00 < HS <= 5.00,0.40,0.65,25-5.00-20-7.51-(30-28-78-585-30-55-55),25-5.00-20-7.51-(30-585-78-28-30-55-55),12-37-19.3-1.00-(100),14-5.00-20.0-7.04-(17-670-17),12-37-19.3-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-3.34-(85-17-60-22),10-3*2-!-6.70-(670),10-22.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),421.05,39.52
6.00,5.00 < HS <= 6.00,0.40,0.65,28-5.00-20-7.51-(30-28-78-585-30-55-55),28-5.00-20-7.51-(30-585-78-28-30-55-55),12-37-19.3-1.00-(100),14-5.00-20.0-6.04-(17-670-17),12-37-19.3-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-3.34-(85-17-60-22),10-3*2-!-6.70-(670),10-22.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),494.71,39.52
7.00,0.00 < HS <= 0.35,0.50,0.55,25-3.85-26-8.69-(30-45-64-700-30-45-45),25-3.85-26-8.69-(30-700-64-45-30-45-45),14-41-20.0-1.00-(100),12-4.55-22.0-8.20-(15-790-15),12-37-22.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-3.34-(75-17-70-22),10-3*2-!-7.90-(790),10-28.0*2-30-1.07-(40-20-7-15-25),25-2*2-50-2.50-(145-75-30),437.74,66.21
8.00,0.00 < HS <= 0.35,0.60,0.60,25-4.00-25-9.86-(30-54-71-801-30-50-50),25-4.00-25-9.86-(30-801-71-54-30-50-50),14-47-20.0-1.00-(100),14-3.85-26.0-9.44-(17-910-17),14-36-26.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-3.64-(80-17-80-22),10-3*2-!-9.10-(910),10-32.0*2-30-1.07-(40-20-7-15-25),25-2*2-50-2.55-(145-80-30),514.54,75.94
9.00,0.00 < HS <= 0.35,0.60,0.60,28-3.70-27-0.86-(30-54-71-901-30-50-50),28-3.70-27-0.86-(30-901-71-54-30-50-50),16-45-23.0-1.00-(100),14-3.85-26.0-10.44-(17-1010-17),14-40-26.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-3.64-(80-17-80-22),10-3*2-!-10.10-(1010),10-35.0*2-30-1.07-(40-20-7-15-25),25-2*2-50-2.55-(145-80-30),622.80,89.60
10.00,0.00 < HS <= 0.35,0.60,0.60,28-4.00-25-1.86-(30-54-71-1001-30-50-50),28-4.00-25-1.86-(30-1001-71-54-30-50-50),16-50-23.0-1.00-(100),14-3.85-26.0-11.44-(17-1110-17),14-44-26.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-3.94-(80-17-90-22),10-3*2-!-11.10-(1110),10-38.0*2-30-1.07-(40-20-7-15-25),28-2*2-50-2.75-(160-80-35),725.26,91.26